,subject,age,age_rounded,gender,question_type,trial_number,trial_type,correct,trial_name
412,C43R6F,3.45,3,f,harder,13,agent,0,Sling
413,XR6JJA,3.04,3,m,harder,1,simple,1,Number1
414,XR6JJA,3.04,3,m,harder,2,simple,0,Number4
415,XR6JJA,3.04,3,m,harder,3,simple,1,Stability1
416,XR6JJA,3.04,3,m,harder,4,simple,1,Number2
417,XR6JJA,3.04,3,m,harder,5,simple,0,Num_Stab
418,XR6JJA,3.04,3,m,harder,6,simple,1,Number3
419,XR6JJA,3.04,3,m,harder,7,complex,0,Process1
420,XR6JJA,3.04,3,m,harder,8,complex,0,Probability
421,XR6JJA,3.04,3,m,harder,9,complex,1,Process2
422,XR6JJA,3.04,3,m,harder,10,complex,0,Process3
423,XR6JJA,3.04,3,m,harder,11,agent,0,Sling
424,XR6JJA,3.04,3,m,harder,12,agent,0,Child_Adult
425,XR6JJA,3.04,3,m,harder,13,agent,1,Cooperation
426,6CJ4A2,3.86,3,f,harder,1,simple,1,Num_Stab
427,6CJ4A2,3.86,3,f,harder,2,simple,1,Number3
428,6CJ4A2,3.86,3,f,harder,3,simple,0,Number2
429,6CJ4A2,3.86,3,f,harder,4,simple,1,Stability1
430,6CJ4A2,3.86,3,f,harder,5,simple,1,Number4
431,6CJ4A2,3.86,3,f,harder,6,simple,1,Number1
432,6CJ4A2,3.86,3,f,harder,7,complex,1,Probability
